Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
1456,118,32,86,32,86,2023-01-14 20:36:36,2023-01-14 15:15:01,0,0,72734J,Big Dave,GENTRY HIGH SCHOOL CONVERSION CHARTER,Arkansas,United States
1457,118,31,87,31,87,2022-11-05 22:29:08,2022-11-05 21:35:49,0,0,7422H,Robotic Burros,BURROUGHS HIGH,California - Region 3,United States
1458,118,30,88,30,88,2022-11-19 18:22:15,2022-11-19 18:44:21,39,0,333G,G Men,Niles North 333 Robotics,Illinois,United States
1459,118,0,118,28,118,2023-01-28 18:48:19,2023-02-11 16:04:10,0,0,1267A,Knights: Asymmetric,DELAWARE COUNTY CHRISTIAN SCHOOL,Pennsylvania - East,United States
1460,118,26,92,26,92,2023-02-11 20:29:32,2023-02-11 19:43:24,0,0,7192D,Yippie Ki Yay,Windom Middle School,Minnesota,United States
1461,118,5,113,25,113,2023-01-21 19:54:49,2023-02-18 21:31:37,0,1,84260A,Nimbus,Cabot High School,Arkansas,United States
1462,118,6,112,13,112,2022-12-10 18:15:59,2023-02-18 18:38:18,0,0,1010K,TenTon Robotics,West Vancouver School District #45,British Columbia (BC),Canada
1463,118,10,108,10,108,2023-02-09 04:37:14,2023-02-09 05:09:18,0,0,10V,Exothermic Velocity,Exothermic Robotics,Washington,United States
1464,118,9,109,9,109,2023-02-04 20:16:03,2023-02-04 18:30:45,0,0,5249S,Zephyrus,Sparta High School,New Jersey,United States
1465,118,0,118,6,118,2023-01-27 23:47:57,2023-02-11 15:45:32,0,0,7157A,Revenge Of The Titans,Bears Robotics @ Chittenango High School,New York-North,United States
1466,118,0,118,0,118,,2023-02-11 23:49:10,0,0,62019A,SeaKings A,PALOS VERDES HIGH,California - Region 4,United States
1467,117,26,91,59,91,2023-02-18 04:26:24,2023-02-11 20:45:58,0,0,27508F,ROBOVIKS TEAM TYR,North Salem High School,Oregon,United States
1468,117,52,65,52,65,2023-02-04 16:15:51,2023-02-04 17:03:15,0,0,18644C,Cougar,Northwest Rankin High School,Mississippi,United States
1469,117,47,70,47,76,2023-02-11 16:27:24,2023-01-14 20:52:15,0,0,74019Z,BlitZkrieg,VERDIGRIS JHS,Oklahoma,United States
1470,117,38,79,44,79,2023-01-14 16:08:59,2023-01-28 16:16:22,42,0,17814W,Organized Chaos,WESTON HIGH SCHOOL,Southern New England,United States
1471,117,42,75,42,75,2023-02-04 19:43:50,2023-02-04 18:05:47,54,0,9909A,Avalanche,MIDDLETOWN HIGH SCHOOL,Southern New England,United States
1472,117,41,76,41,76,2023-01-14 20:53:45,2023-01-14 21:23:54,0,0,3400K,Monkey @('_')@ Mania,BENTONVILLE HIGH SCHOOL,Arkansas,United States
1473,117,40,77,40,80,2022-12-17 19:40:57,2023-01-21 17:24:34,35,0,7862B,Vext Level,Hesston High School,Kansas,United States
1474,117,31,86,40,90,2022-11-19 17:31:45,2023-01-28 19:43:16,0,0,13444C,Spare Parts,COVENANT CHRISTIAN HIGH SCHOOL,Michigan,United States
1475,117,40,77,40,78,2023-02-04 18:56:43,2023-02-16 21:38:44,0,0,35049A,Cleveland Robotics,CLEVELAND HIGH SCHOOL,Alabama,United States
1476,117,31,86,31,86,2023-02-11 17:10:11,2023-02-11 17:14:11,37,0,5111B,AP 5111B,AVERILL PARK HIGH SCHOOL,New York-North,United States
1477,117,30,87,30,87,2023-02-18 20:05:18,2023-02-18 19:39:22,0,0,3773H,BowBots - Hydrogen,Bow High School,New Hampshire/Vermont,United States
1478,117,20,97,20,97,2023-02-11 18:50:07,2023-02-11 20:39:26,0,0,9328E,Shasta Robotics,Shasta High School,California - Region 1,United States
1479,117,0,117,0,117,,2023-01-21 19:25:30,0,0,32792P,Peanut Butter,Winter Park High School,Florida - North/Central,United States
1480,116,63,53,63,67,2023-02-04 15:56:22,2023-01-28 16:03:58,0,0,4478C,T-VEX,MASUK HIGH SCHOOL,Southern New England,United States
1481,116,59,57,59,57,2023-02-19 14:06:07,2023-02-19 14:26:20,0,0,94X,ΜΑΘism,COMMUNITY SCHOOL OF NAPLES,Florida - South,United States
1482,116,46,70,46,70,2023-02-03 17:25:17,2023-02-03 17:37:22,0,0,464W,FH Robotics W,FOREST HILLS JSHS,Pennsylvania - West,United States
1483,116,42,74,42,74,2023-01-14 17:42:33,2023-01-14 17:28:30,0,0,4610C,Cougars,Robot Revolution,New Jersey,United States
1484,116,40,76,40,76,2022-11-05 17:22:12,2022-11-05 17:57:50,36,0,7619Y,Highland-Y,HIGHLAND HIGH,California - Region 3,United States
1485,116,40,76,40,80,2023-01-16 22:44:34,2022-11-11 16:13:18,0,0,5203P,Python,Ola High School,Georgia,United States
1486,116,36,80,36,80,2022-11-30 13:03:06,2022-11-30 12:37:39,50,0,78116A,The NonRoutineMachines,Haberdashers' Boys' School,United Kingdom,United Kingdom
1487,116,34,82,34,84,2023-02-11 18:49:05,2023-01-28 17:44:45,0,0,56R,FrostByte,Cape Elizabeth High School,Maine,United States
1488,116,34,82,34,82,2023-02-18 19:20:10,2023-02-18 18:13:36,0,0,3327C,Rambot C,SPRING-FORD SHS 9-12 CTR,Pennsylvania - East,United States
1489,116,33,83,33,83,2023-02-11 21:08:33,2023-02-11 19:28:17,44,0,64840B,B-CC Robo-Barons B,Bethesda-Chevy Chase High School,Maryland,United States
1490,116,31,85,31,85,2023-02-18 19:39:16,2023-02-18 17:28:39,0,0,59968D,Cougarbots 59968D,JOHN F KENNEDY HIGH SCHOOL,New York-South,United States
1491,116,27,89,27,89,2023-02-18 18:14:06,2023-02-18 16:59:42,45,0,2790A,Valpo Voltage,VALPARAISO HIGH SCHOOL,Indiana,United States
1492,116,24,92,24,93,2022-11-12 18:17:09,2022-12-17 20:36:16,37,0,503A,Warrior Robotics,"WESTMINSTER CHRISTIAN PRIVATE SCHOOL, INC.",Florida - South,United States
1493,116,20,96,20,109,2023-01-21 19:56:04,2023-02-05 18:52:14,0,0,43440X,Sharp Shooters,MARLBOROUGH HIGH,Southern New England,United States
1494,115,52,63,52,78,2023-02-18 00:02:16,2023-02-11 20:52:45,0,0,6978X,Xenon,Highland High School,Ohio,United States
1495,115,44,71,44,71,2023-02-04 19:22:03,2023-02-04 15:38:11,0,0,17814Y,VEXtraterrestrials,WESTON HIGH SCHOOL,Southern New England,United States
1496,115,37,78,37,78,2023-02-10 18:09:40,2023-02-10 18:24:35,0,0,11777Y,The Nerds,NAMPA CHRISTIAN SCHOOLS,Idaho,United States
1497,115,36,79,36,79,2023-02-18 19:07:46,2023-02-18 15:57:52,0,0,6403V,Loading,BROOKSIDE HIGH SCHOOL,Ohio,United States
1498,115,34,81,35,81,2023-02-07 16:14:19,2023-02-11 16:59:35,0,0,77786B,D Squad,BRIDGELAND HIGH SCHOOL,Texas - Region 3,United States
1499,115,34,81,34,81,2022-12-17 20:01:15,2022-12-17 19:51:23,30,0,7862G,Starburst,Hesston High School,Kansas,United States
1500,115,34,81,34,81,2023-01-21 16:32:09,2023-01-21 14:06:09,0,0,44012A,Klauncy,Avon Lake High School - YTA,Ohio,United States
1501,115,33,82,33,82,2023-02-20 02:56:21,2023-02-20 01:58:48,43,0,3685A,Ahi Slayers,Waianae High School - Searider Robotics,Hawaii,United States
1502,115,31,84,31,84,2023-01-21 23:19:32,2023-01-21 18:08:14,53,0,7983E,Centennial CyberHawks E,Centennial High School,California - Region 3,United States
1503,115,30,85,30,85,2023-02-11 16:58:52,2023-02-11 18:45:38,0,0,5884A,Something Magical,Liberty Magnet School,Louisiana,United States
1504,115,23,92,23,92,2022-11-12 21:44:59,2022-11-12 20:11:39,27,0,2114B,Rubberband Robotics,Branches Homeschool Co-op,Arizona,United States
1505,115,10,105,16,105,2023-01-21 19:35:53,2023-01-14 19:46:32,0,0,63310K,Nemesis,Katy High School,Texas - Region 3,United States
1506,115,16,99,16,99,2023-02-11 19:04:33,2023-02-11 15:57:06,0,0,750W,Wolves,SOUTH BRUNSWICK HIGH SCHOOL,New Jersey,United States
1507,115,0,115,0,115,,2023-01-28 18:32:45,0,0,24816T,24816T,Happy Valley High School,Tennessee,United States
1508,115,0,115,0,115,,2023-02-11 18:48:39,0,0,4214X,Cleared For Takeoff,none,North Carolina,United States
1509,114,48,66,48,66,2023-02-12 16:01:06,2023-02-11 23:57:19,0,0,91915B,Moby Disc,HAWKEN SCHOOL,Ohio,United States
1510,114,45,69,46,93,2023-01-14 19:03:39,2023-01-21 14:45:51,0,0,2602H,Hopkinetics Heavy Metal,HOPKINTON HIGH,Southern New England,United States
1511,114,44,70,44,70,2023-01-28 19:37:44,2023-01-28 19:45:47,0,0,9210D,TANKS,Storm Robotics (ISD47),Minnesota,United States
1512,114,42,72,42,72,2023-02-04 18:28:11,2023-02-18 18:16:09,34,0,6127C,Autopilots,Del Valle High School,Texas - Region 1,United States
1513,114,42,72,42,72,2023-02-12 00:54:56,2023-02-12 00:43:54,0,0,42470A,Grizzly Robotics A,GRANITE BAY HIGH,California - Region 2,United States
1514,114,41,73,41,73,2023-02-04 20:20:08,2023-02-04 19:33:50,0,0,99371C,Error 404,Oak Park and River Forest High School,Illinois,United States
1515,114,39,75,39,75,2023-02-12 00:02:33,2023-02-11 18:31:22,57,0,53000Y,Voltage,PORTOLA HIGH,California - Region 4,United States
1516,114,22,92,35,92,2023-02-04 01:57:10,2023-02-10 21:01:45,46,0,41998C,A.L.F.R.E.D.,VALE HIGH SCHOOL,Oregon,United States
1517,114,34,80,34,80,2022-10-29 16:52:31,2022-10-29 17:55:32,52,0,424D,BHS Drillers,BAKERSFIELD HIGH,California - Region 3,United States
1518,114,33,81,33,81,2023-02-12 18:40:07,2023-02-12 18:17:08,0,0,1870A,Canisius High School Robotics,CANISIUS HIGH SCHOOL,New York-North,United States
1519,114,27,87,30,87,2023-01-22 21:31:00,2022-11-12 14:20:20,0,0,19122A,Biohazard,MONTVERDE ACADEMY,Florida - North/Central,United States
1520,114,28,86,28,86,2023-02-18 18:32:11,2023-02-18 15:38:45,0,0,3141M,Mid,Gross Catholic Robotics,Nebraska,United States
1521,114,16,98,19,98,2023-02-18 16:40:47,2023-02-04 16:28:39,0,0,74019B,Motor-rollas,VERDIGRIS JHS,Oklahoma,United States
1522,114,18,96,18,96,2023-02-04 18:35:02,2023-02-04 16:49:37,42,0,34000Z,[Co.R.E.],Sandy Creek Central School,New York-North,United States
1523,114,0,114,17,114,2022-12-17 20:03:09,2023-01-14 18:54:41,0,0,1958Z,Red Devil Bots,Loganville High School,Georgia,United States
1524,114,17,97,17,97,2023-02-18 21:44:35,2023-02-18 22:26:23,0,0,19109A,University of Toronto Schools,University of Toronto Schools,Ontario,Canada
1525,114,0,114,13,114,2023-02-11 17:52:01,2023-02-18 16:04:51,0,0,255B,Norristown Robotics - B,NORRISTOWN AREA HIGH SCHOOL,Pennsylvania - East,United States
1526,114,0,114,0,114,,2023-02-18 16:45:11,0,0,62449B,MSMS Blue Waves,The MISSISSIPPI SCHOOL FOR MATH AND SCIENCE,Mississippi,United States
1527,113,49,64,49,64,2023-01-21 14:40:39,2023-01-21 19:38:29,0,0,71414B,Running on Empty,PIERCE JR/SR HIGH SCHOOL,Nebraska,United States
1528,113,37,76,44,76,2022-12-10 19:27:31,2023-02-18 19:31:17,53,19,99751F,The Entropotists,Colorado Early College Fort Collins,Colorado,United States
1529,113,42,71,42,71,2023-02-11 16:06:48,2023-02-11 19:15:16,0,0,97735X,Techno Crankers,L & B’s Garage Robotics,North Carolina,United States
1530,113,41,72,41,72,2022-10-23 04:55:35,2022-10-23 05:50:52,0,0,76525X,CeleStial X,chingshin academy,Chinese Taipei,Taiwan
1531,113,41,72,41,72,2023-02-04 20:30:59,2023-02-04 21:27:14,0,0,65162B,Artifex,BOB JONES ACADEMY,South Carolina,United States
1532,113,37,76,37,76,2023-01-14 19:10:32,2023-01-14 18:32:32,0,0,727D,Terrapin Dark Red,Tampa Preparatory School,Florida - North/Central,United States
1533,113,37,76,37,76,2023-02-04 19:58:18,2023-02-04 20:28:06,0,0,21050G,Stacy Reynolds,MCGEHEE HIGH SCHOOL,Arkansas,United States
1534,113,28,85,36,85,2023-01-21 16:29:30,2023-02-18 16:38:08,0,0,39110C,ALT+F4,Germantown High School,Mississippi,United States
1535,113,34,79,35,79,2023-02-17 23:46:15,2023-02-12 14:56:29,0,0,4303D,Doc.Bot,FOREST PARK HIGH,Virginia,United States
1536,113,32,81,32,81,2023-02-12 19:15:09,2023-02-12 19:44:40,0,0,1516B,Fighting Grizzles,California High School,California - Region 2,United States
1537,113,31,82,31,82,2023-01-08 10:23:29,2023-01-08 10:34:28,45,0,11881U,Script Robotics,Uğur Okulları,Türkiye,Türkiye
1538,113,27,86,27,86,2023-02-04 20:03:32,2023-02-04 17:20:29,0,0,7460E,AHS - Alt F4,APOLLO HIGH SCHOOL,Kentucky,United States
1539,113,7,106,22,106,2022-11-26 03:42:15,2022-12-16 03:49:52,0,0,8176A,金陵中学1队,Nanjing Jinling High School,China,China
1540,113,18,95,18,95,2023-01-28 20:31:32,2023-01-28 19:55:54,0,0,8373P,MHP Loose Screws,MADISON HIGHLAND PREP,Arizona,United States
1541,113,12,101,17,101,2022-11-26 03:18:39,2022-12-16 02:56:14,0,0,20089X,金陵中学2队,JinLing High school,China,China
1542,113,0,113,16,113,2022-12-17 18:45:46,2023-01-28 18:08:50,40,0,53C,Area 53 Alien Raiders,Greenbelt Robotics Team,Maryland,United States
1543,113,0,113,0,113,,2022-12-17 22:12:27,0,0,40662A,Hear me out,Foundations for the Future Charter Academy,Alberta/Saskatchewan,Canada
1544,113,0,113,0,113,,2023-02-18 18:51:24,0,0,91151B,Fern Creek Robotics,FERN CREEK HIGH,Kentucky,United States
1545,112,77,35,77,72,2023-01-14 14:30:53,2023-01-08 21:00:41,0,0,2360S,Singularity,Neuqua Valley High School,Illinois,United States
1546,112,48,64,48,64,2022-11-26 09:55:08,2022-11-26 10:02:47,0,0,7618C,RoboCar,Shanghai Xiangming High School,China,China
1547,112,43,69,43,69,2023-02-11 17:20:58,2023-02-11 20:31:33,0,0,97963B,JC Patriots,John Carroll School,Maryland,United States
1548,112,43,69,43,69,2023-02-11 19:47:19,2023-02-11 15:14:12,0,0,1881B,Skirts & Steel,DUCHESNE ACADEMY OF THE SACRED HEART,Nebraska,United States
1549,112,42,70,42,70,2023-02-18 19:23:23,2023-02-18 17:40:07,0,0,34300A,Wolves,Ecole Salish Secondary (Surrey School District),British Columbia (BC),Canada
1550,112,40,72,40,72,2023-02-04 13:58:18,2023-02-04 15:28:19,45,0,4478H,H team,MASUK HIGH SCHOOL,Southern New England,United States
1551,112,40,72,40,72,2023-01-28 21:11:37,2023-01-28 19:15:48,0,0,75548D,Gear Shifters,Cathedral High School,Minnesota,United States
1552,112,37,75,37,75,2023-02-18 20:01:43,2023-02-18 18:00:47,44,2,60470A,Ampersand,Innovation Center,Colorado,United States
1553,112,36,76,36,76,2023-02-11 00:38:07,2023-02-11 02:21:56,44,0,98225F,Bellingham High School F,Bellingham High School,Washington,United States
1554,112,35,77,35,77,2023-02-04 21:05:26,2023-02-04 20:50:57,0,0,84443G,InSight,RICE LAKE HIGH,Wisconsin,United States
1555,112,34,78,34,78,2023-02-03 15:35:51,2023-02-03 17:03:27,0,0,1462B,Warriors,PENN TRAFFORD HIGH SCHOOL,Pennsylvania - West,United States
1556,112,32,80,32,80,2023-01-21 18:22:13,2023-01-21 18:31:58,47,0,2849B,AvengNerds,Caston Jr-Sr High School,Indiana,United States
1557,112,29,83,32,83,2023-01-14 20:47:44,2023-02-04 16:23:50,29,0,9144E,Spartan AxleTwisters,SOMERSET HIGH,Wisconsin,United States
1558,112,31,81,31,95,2022-11-19 17:37:38,2023-02-16 22:03:54,0,0,4828S,BrewTech Robotics - S,BREWTECH TECHNOLOGY MAGNET HIGH SCHOOL,Alabama,United States
1559,112,0,112,27,112,2023-01-07 19:05:44,2023-02-18 18:01:40,0,0,97140B,Kennedy Gaels Too,Kennedy Catholic Preparatory School,New York-South,United States
1560,112,24,88,24,106,2022-11-19 16:18:32,2023-01-14 19:27:35,0,0,2398A,Aftermath,SEQUOYAH HIGH SCHOOL,Oklahoma,United States
1561,112,20,92,20,92,2023-02-18 19:56:40,2023-02-18 15:15:36,0,0,9875W,WAR - TIME,Waupun Area Junior/Senior High School,Wisconsin,United States
1562,112,16,96,16,96,2023-02-18 18:49:25,2023-02-18 18:13:50,55,4,26164C,Disc-iples,Ravenswood High School,West Virginia,United States
1563,112,16,96,16,100,2023-02-04 20:13:59,2023-01-21 17:42:06,0,0,45224A,Avengineers,SOUTH RANGE HIGH SCHOOL,Ohio,United States
1564,112,10,102,10,102,2023-01-21 20:16:12,2023-01-21 19:06:13,0,0,25455Y,Airor 4-OH-4,Cranberry Area Jshs,Pennsylvania - West,United States
1565,112,0,112,0,112,,2023-01-14 14:53:14,0,0,169A,The Cavalry,THE HAVERFORD SCHOOL,Pennsylvania - East,United States
1566,111,50,61,50,65,2023-02-07 22:31:51,2023-01-28 19:20:24,0,0,96671Z,Theoretically a Roomba,RED RIVER HIGH SCHOOL,North Dakota,United States
1567,111,44,67,44,67,2023-02-12 23:57:15,2023-02-12 23:55:34,0,0,5313B,Robo Rebels,SHAWSHEEN VALLEY VOCATIONAL TECHNICAL HIGH SCHOOL,Southern New England,United States
1568,111,35,76,35,83,2022-12-04 19:09:55,2023-01-29 18:37:08,0,0,58566A,A.R.E.S,GRAFTON HIGH SCHOOL,Southern New England,United States
1569,111,33,78,33,78,2023-02-18 20:43:37,2023-02-18 19:05:53,0,2,6127A,Tim,Del Valle High School,Texas - Region 1,United States
1570,111,30,81,30,107,2023-02-04 17:12:34,2023-01-28 18:34:51,0,0,33190G,Galactic Geeks Robotics,VIRGIL GRISSOM HIGH SCHOOL,Alabama,United States
1571,111,23,88,27,88,2023-01-28 16:42:16,2023-02-11 16:48:50,1,0,28646A,Brighton TN,BRIGHTON HIGH SCHOOL,Tennessee,United States
1572,111,26,85,26,85,2023-02-04 19:40:53,2023-02-04 15:49:13,0,0,5P,Tropical Flints,RAVENNA SENIOR HIGH,Nebraska,United States
1573,111,24,87,24,87,2023-02-04 20:28:48,2023-02-04 19:20:08,47,0,59968H,Cougarbots 59968H,JOHN F KENNEDY HIGH SCHOOL,New York-South,United States
1574,111,0,111,24,111,2022-12-10 14:19:33,2023-01-28 18:31:33,31,0,24816H,24816H,Happy Valley High School,Tennessee,United States
1575,111,16,95,20,95,2022-12-17 21:32:02,2023-01-20 18:13:10,0,0,2290A,Eagle's Legend,Colegio Adianez,Puerto Rico,Puerto Rico
1576,111,0,111,0,111,,2023-02-04 20:20:13,0,0,1022X,Claremont Robotics,Claremont Secondary School,Vancouver Island (BC),Canada
1577,110,27,83,47,83,2023-02-11 16:20:51,2023-02-19 14:45:15,0,0,77788R,Cyber Eagles R,Calvary Christian Academy,Florida - South,United States
1578,110,42,68,42,68,2022-12-03 22:27:05,2022-12-03 23:09:46,0,0,41103A,Next Gen,Pedare Christian College,Australia,Australia
1579,110,26,84,40,90,2023-02-11 17:06:04,2022-08-02 17:26:15,0,0,8110M,Scarlet Dragons,Mankato West Robotics,Minnesota,United States
1580,110,40,70,40,70,2022-12-17 03:36:48,2022-12-17 03:36:28,0,0,63936A,Lingnan A,"Lingnan Middle School, Macau",Macau,Macau
1581,110,27,83,37,83,2023-01-21 16:19:55,2023-02-11 15:07:12,40,0,2442A,Bancroft Robodogs A,BANCROFT SCHOOL,Southern New England,United States
1582,110,35,75,35,85,2023-01-23 17:36:43,2023-01-14 17:16:31,0,0,41829B,Raider Robotics,RIVERDALE HIGH SCHOOL,Florida - South,United States
1583,110,35,75,35,75,2022-12-17 03:38:25,2022-12-17 03:38:37,0,0,11X,SSBS,IP机器人活动中心,China,China
1584,110,31,79,34,79,2023-01-23 17:07:36,2022-12-10 15:30:08,0,0,2473A,2473a,ATLANTIC HIGH SCHOOL,Florida - South,United States
1585,110,34,76,34,76,2023-02-10 17:14:00,2023-02-10 19:05:56,0,0,9551E,Vexed,,Idaho,United States
1586,110,34,76,34,76,2023-02-11 23:46:56,2023-02-11 20:50:00,0,0,8054A,Mustang Mechanics A,MIRA COSTA HIGH,California - Region 4,United States
1587,110,32,78,32,78,2023-02-18 14:54:57,2023-02-18 17:21:59,0,4,63303C,"JCHS Robotics - 3 Menaces, 2 Much",JOHNSON CO HIGH SCHOOL,Tennessee,United States
1588,110,26,84,32,84,2023-01-12 16:32:58,2023-01-31 16:51:10,0,0,33761A,Bryant Team 1,ALMA BRYANT HIGH SCHOOL,Alabama,United States
1589,110,31,79,31,79,2023-02-18 04:53:18,2023-02-18 23:12:58,13,0,3168S,Skywalker Robotics,Skywalker Robotics,New Zealand,New Zealand
1590,110,30,80,30,80,2023-02-04 18:21:07,2023-02-04 14:37:10,0,0,8746B,Orange Knights,ROME FREE ACADEMY,New York-North,United States
1591,110,26,84,29,84,2022-12-03 16:03:32,2022-12-17 17:18:17,46,0,99402A,Hurricane Andrew,THE ACADEMIES AT JONESBORO HIGH SCHOOL,Arkansas,United States
1592,110,11,99,29,109,2023-02-04 19:10:57,2022-12-03 17:46:42,0,0,39X,Same-Day Shipping,CRANBROOK SCHOOLS,Michigan,United States
1593,110,26,84,26,84,2022-10-22 16:21:20,2022-10-22 17:07:18,0,0,2142E,The Flat Earth Society,JOHN BAPST MEMORIAL HIGH SCHOOL,Maine,United States
1594,110,0,110,19,110,2023-01-07 15:03:59,2023-01-16 22:22:05,0,0,8682A,Apollo,Newton College and Career Academy,Georgia,United States
1595,110,16,94,16,94,2023-02-04 19:08:05,2023-02-04 17:34:45,25,5,99921A,Robo-Raiders,Chesapeake High School,West Virginia,United States
1596,110,0,110,12,110,2022-11-19 21:31:48,2022-12-10 20:41:50,0,0,9457X,Your Ex,MANKATO EAST SENIOR HIGH,Minnesota,United States
1597,110,0,110,0,110,,2023-02-11 15:12:33,0,0,4610M,Mildly Infuriating,Robot Revolution,New Jersey,United States
1598,109,56,53,56,55,2023-02-11 15:47:03,2023-01-21 19:35:54,0,0,55745B,[Bra[kets],VISTA PEAK 9-12 PREPARATORY,Colorado,United States
1599,109,48,61,48,66,2023-02-11 15:29:33,2022-12-17 19:08:58,0,0,90475B,D-Block,DEER PARK HIGH SCHOOL (SC),Texas - Region 3,United States
1600,109,44,65,44,68,2023-01-21 16:02:37,2022-12-28 19:07:36,1,0,3211X,Metal,Scouts BSA - Troop 211,Minnesota,United States
1601,109,38,71,38,71,2023-02-18 15:13:45,2023-02-18 18:10:03,0,0,97834X,"OIA - XXXTentacion, RIP",OWENSBORO INNOVATION ACADEMY,Kentucky,United States
1602,109,25,84,34,84,2023-02-04 13:44:30,2022-12-17 18:58:00,50,0,1697B,Robo Tighteners B,HALL HIGH SCHOOL,Southern New England,United States
1603,109,34,75,34,78,2023-01-21 17:51:40,2023-02-18 18:14:36,0,0,68561D,Canada,WEST HOLMES HIGH SCHOOL,Ohio,United States
1604,109,30,79,30,86,2023-01-20 22:43:09,2023-01-28 15:05:09,0,0,8609N,Nike Robotics,Lorain Titans Robotics - High School,Ohio,United States
1605,109,27,82,27,82,2023-01-07 18:51:12,2023-01-07 18:24:09,0,0,50027A,Jerm,DERBY HIGH SCHOOL,Kansas,United States
1606,109,8,101,22,101,2022-10-23 03:41:25,2022-12-03 01:24:06,0,0,76525W,CeleStial W,chingshin academy,Chinese Taipei,Taiwan
1607,109,0,109,16,109,2023-01-24 00:17:14,2023-02-18 19:21:15,41,0,400E,E-monkey,BALL HIGH SCHOOL,Texas - Region 3,United States
1608,109,14,95,14,107,2022-10-15 16:37:41,2023-02-18 23:17:48,0,0,80001C,Double Play,Double Play,California - Region 2,United States
1609,109,13,96,13,96,2023-02-11 06:37:55,2023-02-11 05:11:14,0,0,8059D,Blank,Anglo-Chinese School (Independent),Singapore,Singapore
1610,109,9,100,9,100,2022-11-19 18:30:58,2022-11-19 18:02:32,38,0,333R,Los Robos,Niles North 333 Robotics,Illinois,United States
1611,109,3,106,3,106,2023-01-14 19:56:23,2023-01-14 19:25:09,0,0,87265B,Southridge Robotics,Southridge School,British Columbia (BC),Canada
1612,109,0,109,0,109,,2022-12-03 18:21:08,0,0,1082V,NO MATCH SCHEDULED,LOVEJOY HIGH SCHOOL,Texas - Region 2,United States
1613,109,0,109,0,109,,2023-02-18 18:43:51,0,0,42075B,Discriminants,Academies of Loudoun,Virginia,United States
1614,109,0,109,0,109,,2023-02-18 19:15:16,0,0,10700X,aRTMech,,Ontario,Canada
1615,109,0,109,0,109,,2023-02-18 21:15:02,0,0,866C,Willamette C,WILLAMETTE HIGH SCHOOL,Oregon,United States
1616,108,54,54,54,54,2023-02-11 21:55:35,2023-02-11 22:35:23,0,0,9932D,Hawks,JERICHO SENIOR HIGH SCHOOL,New York-South,United States
1617,108,43,65,43,76,2023-02-11 22:06:33,2023-02-11 02:41:09,33,0,3017A,3017A,HENLEY HIGH SCHOOL,Oregon,United States
1618,108,26,82,39,82,2022-12-10 16:09:03,2022-11-19 15:40:32,0,0,9142A,Milkcramps,CLAREMORE HIGH SCHOOL,Oklahoma,United States
1619,108,38,70,38,70,2023-01-28 16:36:41,2023-01-28 15:35:02,0,0,1275F,Chamblee High School JROTC,Chamblee Charter High School,Georgia,United States
1620,108,37,71,37,71,2023-02-12 23:54:33,2023-02-12 23:53:36,0,0,5313D,Robo Raiders,SHAWSHEEN VALLEY VOCATIONAL TECHNICAL HIGH SCHOOL,Southern New England,United States
1621,108,34,74,34,74,2023-02-04 15:21:33,2023-02-04 16:25:32,38,0,70649V,Team V (AORE),PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,Florida - North/Central,United States
1622,108,28,80,28,80,2023-02-04 19:39:49,2023-02-11 21:52:46,55,0,8931V,V-Bots Vortex,LAKE STEVENS SR HIGH SCHOOL,Washington,United States
1623,108,20,88,20,88,2023-01-21 18:46:38,2023-01-21 18:09:35,0,0,7870X,Xistential Crisis,CORONADO HIGH SCHOOL,Nevada,United States
1624,108,18,90,18,90,2023-02-18 01:17:06,2023-02-18 01:41:22,0,0,42652A,Iron Patriots,SULLIVAN EAST HIGH SCHOOL,Tennessee,United States
1625,108,15,93,15,93,2022-11-20 03:38:56,2022-11-20 02:33:10,48,0,10002C,Camcean,PU TAI SENIOR HIGH SCHOOL,Chinese Taipei,Taiwan
1626,108,14,94,14,100,2023-02-11 23:11:45,2023-01-28 21:11:45,45,0,11495E,Robo Legends,Robo Legends Robotics of South Texas,Texas - Region 4,United States
1627,108,12,96,12,96,2023-01-14 21:00:34,2023-02-04 19:30:25,45,0,32789B,NRT,NORTHFIELD JR-SR HIGH SCHOOL,Indiana,United States
1628,108,0,108,0,108,2023-02-11 16:10:14,2023-02-11 16:10:15,0,0,75160C,Tiger Nation,TERRELL HIGH SCHOOL,Texas - Region 2,United States
1629,108,0,108,0,108,,2023-02-04 15:10:25,0,0,717A,Magnus Robotics,Magnus Robotics,Pennsylvania - East,United States
1630,108,0,108,0,108,,2023-02-12 22:19:57,0,0,733B,NP3 Pirates B,NATOMAS PACIFIC PATHWAYS PREP,California - Region 2,United States
1631,107,52,55,52,55,2022-12-03 15:28:45,2022-12-03 18:15:00,0,0,40684E,I.R.S.,NAPOLEON HIGH SCHOOL,Michigan,United States
1632,107,43,64,43,64,2023-02-11 01:00:22,2023-02-11 01:46:58,27,50,47874H,Rowan/Logan -- Big Cashew,Squalicum High School,Washington,United States
1633,107,42,65,42,65,2023-02-19 15:48:28,2023-02-19 16:12:05,9,0,6410C,Caravan Robotics,MOUNT CARMEL HIGH SCHOOL,Illinois,United States
